Year,Profession,Employment status,Sex,Province,Units,Value
2021,,Not retired,Male,,"Per 10,000 inhabitants",74.7
2020,,,Male,,"Per 10,000 inhabitants",91.8
2015,,,Male,,"Per 10,000 inhabitants",85.2
2022,,,Male,,"Per 10,000 inhabitants",93.7
2019,,Retired,Male,,"Per 10,000 inhabitants",15.7
2024,,Retired,Male,,"Per 10,000 inhabitants",22.7
2023,,Not retired,Male,,"Per 10,000 inhabitants",74.0
2021,,,Male,,"Per 10,000 inhabitants",92.9
2012,,Not retired,Male,,"Per 10,000 inhabitants",74.4
2018,,,Male,,"Per 10,000 inhabitants",88.2
2021,,Retired,Male,,"Per 10,000 inhabitants",18.2
2014,,Retired,Male,,"Per 10,000 inhabitants",10.2
2024,,,Male,,"Per 10,000 inhabitants",96.3
2012,,Retired,Male,,"Per 10,000 inhabitants",9.4
2011,,Not retired,Male,,"Per 10,000 inhabitants",68.5
2015,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",11.0
2020,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",16.3
2011,,,Male,Araba/Álava,"Per 10,000 inhabitants",76.3
2022,,,Male,Araba/Álava,"Per 10,000 inhabitants",85.6
2015,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",68.4
2010,,,Male,Araba/Álava,"Per 10,000 inhabitants",75.2
2016,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",68.1
2021,,,Male,Araba/Álava,"Per 10,000 inhabitants",86.3
2017,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",68.1
2024,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",19.2
2025,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",68.1
2010,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",7.2
2023,,,Male,Araba/Álava,"Per 10,000 inhabitants",86.2
2021,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",69.2
2014,,,Male,Araba/Álava,"Per 10,000 inhabitants",78.6
2012,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",8.0
2015,,,Male,Araba/Álava,"Per 10,000 inhabitants",79.4
2016,,,Male,Araba/Álava,"Per 10,000 inhabitants",80.6
2023,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",66.8
2025,,,Male,Araba/Álava,"Per 10,000 inhabitants",88.0
2024,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",67.3
2016,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",12.5
2017,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",13.7
2012,,,Male,Araba/Álava,"Per 10,000 inhabitants",76.3
2018,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",14.5
2014,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",9.7
2025,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",20.0
2018,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",68.1
2011,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",62.9
2011,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",7.2
2012,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",68.3
2017,,,Male,Araba/Álava,"Per 10,000 inhabitants",81.8
2019,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",15.3
2010,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",67.7
2022,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",66.9
2021,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",17.1
2019,,,Male,Araba/Álava,"Per 10,000 inhabitants",83.9
2013,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",67.9
2013,,,Male,Araba/Álava,"Per 10,000 inhabitants",77.0
2013,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",9.0
2014,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",68.9
2020,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",68.8
2018,,,Male,Araba/Álava,"Per 10,000 inhabitants",82.6
2020,,,Male,Araba/Álava,"Per 10,000 inhabitants",85.1
2023,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",19.4
2019,,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",68.6
2022,,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",18.7
2024,,,Male,Araba/Álava,"Per 10,000 inhabitants",86.5
2012,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",10.1
2016,,,Male,Bizkaia,"Per 10,000 inhabitants",94.2
2024,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",83.4
2021,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",83.9
2022,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",84.2
2014,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",81.5
2015,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",10.9
2015,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",81.7
2025,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",24.6
2018,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",14.0
2025,,,Male,Bizkaia,"Per 10,000 inhabitants",108.2
2016,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",11.7
2020,,,Male,Bizkaia,"Per 10,000 inhabitants",101.6
2014,,,Male,Bizkaia,"Per 10,000 inhabitants",92.2
2019,,,Male,Bizkaia,"Per 10,000 inhabitants",98.5
2017,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",12.9
2012,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",79.3
2013,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",80.7
2017,,,Male,Bizkaia,"Per 10,000 inhabitants",95.2
2019,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",16.3
2022,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",19.5
2011,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",9.3
2016,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",82.3
2018,,,Male,Bizkaia,"Per 10,000 inhabitants",97.1
2021,,,Male,Bizkaia,"Per 10,000 inhabitants",102.9
2010,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",80.3
2014,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",10.5
2012,,,Male,Bizkaia,"Per 10,000 inhabitants",89.5
2021,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",19.0
2010,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",8.8
2022,,,Male,Bizkaia,"Per 10,000 inhabitants",103.7
2023,,,Male,Bizkaia,"Per 10,000 inhabitants",105.7
2024,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",23.2
2011,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",72.6
2013,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",10.0
2020,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",17.7
2015,,,Male,Bizkaia,"Per 10,000 inhabitants",92.9
2025,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",83.6
2013,,,Male,Bizkaia,"Per 10,000 inhabitants",90.9
2018,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",83.0
2024,,,Male,Bizkaia,"Per 10,000 inhabitants",106.6
2010,,,Male,Bizkaia,"Per 10,000 inhabitants",89.3
2017,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",82.1
2020,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",83.8
2011,,,Male,Bizkaia,"Per 10,000 inhabitants",90.5
2023,,Retired,Male,Bizkaia,"Per 10,000 inhabitants",21.9
2019,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",82.1
2023,,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",83.8
2022,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",18.4
2013,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",9.4
2021,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",62.9
2025,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",61.1
2011,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",64.5
2017,,,Male,Gipuzkoa,"Per 10,000 inhabitants",76.1
2013,,,Male,Gipuzkoa,"Per 10,000 inhabitants",75.1
2012,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",9.0
2011,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",6.8
2018,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",13.3
2015,,,Male,Gipuzkoa,"Per 10,000 inhabitants",75.8
2018,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",63.4
2017,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",63.5
2010,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",67.4
2014,,,Male,Gipuzkoa,"Per 10,000 inhabitants",75.5
2018,,,Male,Gipuzkoa,"Per 10,000 inhabitants",76.7
2019,,,Male,Gipuzkoa,"Per 10,000 inhabitants",78.5
2020,,,Male,Gipuzkoa,"Per 10,000 inhabitants",79.6
2023,,,Male,Gipuzkoa,"Per 10,000 inhabitants",87.1
2025,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",24.9
2019,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",14.9
2017,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",12.6
2021,,,Male,Gipuzkoa,"Per 10,000 inhabitants",80.3
2012,,,Male,Gipuzkoa,"Per 10,000 inhabitants",78.3
2014,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",10.0
2011,,,Male,Gipuzkoa,"Per 10,000 inhabitants",79.5
2022,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",63.3
2020,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",63.4
2014,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",65.4
2019,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",63.6
2023,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",61.9
2015,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",64.3
2012,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",69.4
2024,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",61.2
2025,,,Male,Gipuzkoa,"Per 10,000 inhabitants",86.0
2013,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",65.7
2024,,,Male,Gipuzkoa,"Per 10,000 inhabitants",84.6
2010,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",6.8
2016,,,Male,Gipuzkoa,"Per 10,000 inhabitants",76.5
2015,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",11.5
2023,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",25.3
2016,,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",64.6
2020,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",16.2
2022,,,Male,Gipuzkoa,"Per 10,000 inhabitants",81.7
2021,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",17.4
2024,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",23.4
2016,,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",11.9
2010,,,Male,Gipuzkoa,"Per 10,000 inhabitants",74.2
2023,Physician,,,,"Per 10,000 inhabitants",71.8
2020,Physician,,,,"Per 10,000 inhabitants",67.1
2012,Physician,,,,"Per 10,000 inhabitants",57.1
2016,Physician,Not retired,,,"Per 10,000 inhabitants",53.9
2019,Physician,Not retired,,,"Per 10,000 inhabitants",54.8
2017,Physician,Retired,,,"Per 10,000 inhabitants",7.9
2017,Physician,,,,"Per 10,000 inhabitants",62.1
2023,Physician,Not retired,,,"Per 10,000 inhabitants",57.1
2013,Physician,,,,"Per 10,000 inhabitants",58.2
2016,Physician,Retired,,,"Per 10,000 inhabitants",7.1
2025,Physician,Not retired,,,"Per 10,000 inhabitants",58.3
2025,Physician,Retired,,,"Per 10,000 inhabitants",17.0
2019,Physician,Retired,,,"Per 10,000 inhabitants",10.3
2014,Physician,Not retired,,,"Per 10,000 inhabitants",53.6
2013,Physician,Not retired,,,"Per 10,000 inhabitants",53.1
2020,Physician,Retired,,,"Per 10,000 inhabitants",11.3
2017,Physician,Not retired,,,"Per 10,000 inhabitants",54.1
2021,Physician,Not retired,,,"Per 10,000 inhabitants",56.5
2015,Physician,Not retired,,,"Per 10,000 inhabitants",53.7
2014,Physician,,,,"Per 10,000 inhabitants",59.3
2022,Physician,Retired,,,"Per 10,000 inhabitants",13.1
2015,Physician,,,,"Per 10,000 inhabitants",60.0
2010,Physician,Not retired,,,"Per 10,000 inhabitants",50.2
2016,Physician,,,,"Per 10,000 inhabitants",61.0
2014,Physician,Retired,,,"Per 10,000 inhabitants",5.7
2015,Physician,Retired,,,"Per 10,000 inhabitants",6.3
2022,Physician,,,,"Per 10,000 inhabitants",70.3
2011,Physician,,,,"Per 10,000 inhabitants",55.6
2024,Physician,Not retired,,,"Per 10,000 inhabitants",57.6
2018,Physician,Not retired,,,"Per 10,000 inhabitants",54.6
2021,Physician,Retired,,,"Per 10,000 inhabitants",12.4
2023,Physician,Retired,,,"Per 10,000 inhabitants",14.7
2011,Physician,Not retired,,,"Per 10,000 inhabitants",51.2
2013,Physician,Retired,,,"Per 10,000 inhabitants",5.2
2012,Physician,Retired,,,"Per 10,000 inhabitants",5.0
2024,Physician,Retired,,,"Per 10,000 inhabitants",15.7
2018,Physician,,,,"Per 10,000 inhabitants",63.4
2019,Physician,,,,"Per 10,000 inhabitants",65.0
2010,Physician,Retired,,,"Per 10,000 inhabitants",4.1
2022,Physician,Not retired,,,"Per 10,000 inhabitants",57.1
2025,Physician,,,,"Per 10,000 inhabitants",75.4
2018,Physician,Retired,,,"Per 10,000 inhabitants",8.8
2020,Physician,Not retired,,,"Per 10,000 inhabitants",55.8
2021,Physician,,,,"Per 10,000 inhabitants",68.9
2010,Physician,,,,"Per 10,000 inhabitants",54.3
2024,Physician,,,,"Per 10,000 inhabitants",73.2
2011,Physician,Retired,,,"Per 10,000 inhabitants",4.3
2012,Physician,Not retired,,,"Per 10,000 inhabitants",52.1
2014,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",5.3
2017,Physician,,,Araba/Álava,"Per 10,000 inhabitants",59.1
2015,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",6.3
2023,Physician,,,Araba/Álava,"Per 10,000 inhabitants",64.7
2010,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",3.7
2010,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",47.9
2022,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",13.0
2011,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",49.8
2024,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",14.2
2013,Physician,,,Araba/Álava,"Per 10,000 inhabitants",56.5
2024,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",51.9
2022,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",50.5
2017,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",8.4
2014,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",52.3
2013,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",4.7
2015,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",51.7
2020,Physician,,,Araba/Álava,"Per 10,000 inhabitants",61.3
2018,Physician,,,Araba/Álava,"Per 10,000 inhabitants",59.2
2012,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",51.3
2025,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",52.6
2016,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",51.1
2018,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",9.1
2019,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",50.1
2019,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",10.2
2010,Physician,,,Araba/Álava,"Per 10,000 inhabitants",51.6
2012,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",4.0
2014,Physician,,,Araba/Álava,"Per 10,000 inhabitants",57.6
2025,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",15.9
2017,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",50.6
2015,Physician,,,Araba/Álava,"Per 10,000 inhabitants",57.9
2011,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",3.7
2016,Physician,,,Araba/Álava,"Per 10,000 inhabitants",58.6
2021,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",51.1
2019,Physician,,,Araba/Álava,"Per 10,000 inhabitants",60.3
2024,Physician,,,Araba/Álava,"Per 10,000 inhabitants",66.1
2020,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",50.4
2013,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",51.8
2016,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",7.5
2011,Physician,,,Araba/Álava,"Per 10,000 inhabitants",53.4
2022,Physician,,,Araba/Álava,"Per 10,000 inhabitants",63.5
2023,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",50.8
2021,Physician,,,Araba/Álava,"Per 10,000 inhabitants",62.6
2012,Physician,,,Araba/Álava,"Per 10,000 inhabitants",55.4
2020,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",10.9
2025,Physician,,,Araba/Álava,"Per 10,000 inhabitants",68.5
2023,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",13.8
2018,Physician,Not retired,,Araba/Álava,"Per 10,000 inhabitants",50.2
2021,Physician,Retired,,Araba/Álava,"Per 10,000 inhabitants",11.5
2017,Physician,,,Bizkaia,"Per 10,000 inhabitants",66.2
2012,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",5.4
2019,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",59.1
2022,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",13.6
2012,Physician,,,Bizkaia,"Per 10,000 inhabitants",60.1
2013,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",56.1
2010,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",4.6
2020,Physician,,,Bizkaia,"Per 10,000 inhabitants",72.5
2018,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",59.1
2014,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",5.7
2010,Physician,,,Bizkaia,"Per 10,000 inhabitants",57.2
2020,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",60.4
2022,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",62.4
2017,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",8.0
2017,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",58.2
2025,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",18.3
2025,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",63.5
2016,Physician,,,Bizkaia,"Per 10,000 inhabitants",64.8
2014,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",56.8
2024,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",62.8
2019,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",10.9
2021,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",13.4
2021,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",61.1
2023,Physician,,,Bizkaia,"Per 10,000 inhabitants",78.0
2014,Physician,,,Bizkaia,"Per 10,000 inhabitants",62.6
2020,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",12.1
2024,Physician,,,Bizkaia,"Per 10,000 inhabitants",79.6
2015,Physician,,,Bizkaia,"Per 10,000 inhabitants",63.6
2015,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",6.3
2016,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",7.0
2012,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",54.7
2011,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",53.6
2025,Physician,,,Bizkaia,"Per 10,000 inhabitants",81.8
2011,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",4.9
2019,Physician,,,Bizkaia,"Per 10,000 inhabitants",70.0
2018,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",9.0
2021,Physician,,,Bizkaia,"Per 10,000 inhabitants",74.4
2023,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",62.3
2013,Physician,,,Bizkaia,"Per 10,000 inhabitants",61.5
2024,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",16.8
2023,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",15.7
2018,Physician,,,Bizkaia,"Per 10,000 inhabitants",68.1
2016,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",57.8
2015,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",57.3
2010,Physician,Not retired,,Bizkaia,"Per 10,000 inhabitants",52.6
2011,Physician,,,Bizkaia,"Per 10,000 inhabitants",58.5
2022,Physician,,,Bizkaia,"Per 10,000 inhabitants",75.9
2013,Physician,Retired,,Bizkaia,"Per 10,000 inhabitants",5.4
2017,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",56.9
2015,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",6.5
2025,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",15.6
2021,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",11.3
2017,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",7.6
2013,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",5.0
2023,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",65.2
2015,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",55.3
2011,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",3.7
2011,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",51.8
2025,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",68.3
2020,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",51.0
2024,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",51.9
2018,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",49.5
2021,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",51.7
2023,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",51.7
2016,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",49.0
2013,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",48.8
2010,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",47.3
2014,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",49.1
2020,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",61.2
2022,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",64.4
2016,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",55.9
2014,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",54.8
2014,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",5.7
2013,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",53.8
2018,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",57.9
2012,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",52.9
2022,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",12.5
2024,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",66.3
2010,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",50.9
2012,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",4.7
2012,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",48.2
2019,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",49.9
2020,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",10.3
2016,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",6.9
2010,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",3.5
2025,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",52.7
2023,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",13.5
2015,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",48.9
2011,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",47.9
2017,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",49.3
2021,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",63.0
2024,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",14.4
2019,Physician,,,Gipuzkoa,"Per 10,000 inhabitants",59.3
2018,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",8.3
2022,Physician,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",51.8
2019,Physician,Retired,,Gipuzkoa,"Per 10,000 inhabitants",9.4
2012,Physician,Retired,Female,,"Per 10,000 inhabitants",1.8
2023,Physician,Not retired,Female,,"Per 10,000 inhabitants",70.1
2019,Physician,,Female,,"Per 10,000 inhabitants",69.4
2012,Physician,Not retired,Female,,"Per 10,000 inhabitants",55.0
2011,Physician,Retired,Female,,"Per 10,000 inhabitants",1.4
2015,Physician,,Female,,"Per 10,000 inhabitants",61.6
2025,Physician,Retired,Female,,"Per 10,000 inhabitants",12.8
2023,Physician,Retired,Female,,"Per 10,000 inhabitants",10.2
2013,Physician,Not retired,Female,,"Per 10,000 inhabitants",56.8
2013,Physician,Retired,Female,,"Per 10,000 inhabitants",1.8
2022,Physician,,Female,,"Per 10,000 inhabitants",77.7
2011,Physician,Not retired,Female,,"Per 10,000 inhabitants",52.9
2015,Physician,Retired,Female,,"Per 10,000 inhabitants",2.7
2020,Physician,Retired,Female,,"Per 10,000 inhabitants",7.0
2016,Physician,Retired,Female,,"Per 10,000 inhabitants",3.4
2023,Physician,,Female,,"Per 10,000 inhabitants",80.3
2010,Physician,Retired,Female,,"Per 10,000 inhabitants",1.1
2022,Physician,Retired,Female,,"Per 10,000 inhabitants",8.8
2014,Physician,Not retired,Female,,"Per 10,000 inhabitants",57.9
2018,Physician,Not retired,Female,,"Per 10,000 inhabitants",61.9
2017,Physician,Not retired,Female,,"Per 10,000 inhabitants",60.7
2020,Physician,Not retired,Female,,"Per 10,000 inhabitants",65.5
2015,Physician,Not retired,Female,,"Per 10,000 inhabitants",58.9
2011,Physician,,Female,,"Per 10,000 inhabitants",54.3
