Year,Series,Erakundea,Lurralde historikoa,Units,Value
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.01
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.06
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.03
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.02
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.65
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.64
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.63
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.65
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.69
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.65
