Year,Series,Province,County,Municipality,Units,GeoCode,Value
2021,Proportion of households with a toilet,,,Alkiza,%,Alkiza,97.0
2018,Proportion of households with a toilet,,,Alkiza,%,Alkiza,97.0
2022,Proportion of households with running water,,,Alkiza,%,Alkiza,100.0
2013,Proportion of households with running water,,,Alkiza,%,Alkiza,100.0
2021,Proportion of households with running water,,,Alkiza,%,Alkiza,100.0
2020,Proportion of households with a toilet,,,Alkiza,%,Alkiza,97.0
2014,Proportion of households with a toilet,,,Alkiza,%,Alkiza,97.6
2016,Proportion of households with a toilet,,,Alkiza,%,Alkiza,96.9
2015,Proportion of households with running water,,,Alkiza,%,Alkiza,100.0
2016,Proportion of households with running water,,,Alonsotegi,%,Alonsotegi,99.5
2022,Proportion of households with running water,,,Alonsotegi,%,Alonsotegi,99.4
2022,Proportion of households with a toilet,,,Alonsotegi,%,Alonsotegi,100.0
2021,Proportion of households with running water,,,Alonsotegi,%,Alonsotegi,99.5
2018,Proportion of households with a toilet,,,Alonsotegi,%,Alonsotegi,98.4
2023,Proportion of households with a toilet,,,Alonsotegi,%,Alonsotegi,100.0
2021,Proportion of households with a toilet,,,Alonsotegi,%,Alonsotegi,100.0
2016,Proportion of households with a toilet,,,Alonsotegi,%,Alonsotegi,98.2
2013,Proportion of households with running water,,,Alonsotegi,%,Alonsotegi,99.4
2015,Proportion of households with a toilet,,,Alonsotegi,%,Alonsotegi,98.1
2013,Proportion of households with a toilet,,,Alonsotegi,%,Alonsotegi,98.2
2020,Proportion of households with running water,,,Alonsotegi,%,Alonsotegi,99.5
2023,Proportion of households with running water,,,Alonsotegi,%,Alonsotegi,99.4
2014,Proportion of households with running water,,,Alonsotegi,%,Alonsotegi,99.4
2019,Proportion of households with a toilet,,,Alonsotegi,%,Alonsotegi,98.4
2019,Proportion of households with running water,,,Alonsotegi,%,Alonsotegi,99.4
2010,Proportion of households with running water,,,Alonsotegi,%,Alonsotegi,99.4
2018,Proportion of households with running water,,,Alonsotegi,%,Alonsotegi,99.5
2010,Proportion of households with a toilet,,,Alonsotegi,%,Alonsotegi,98.2
2014,Proportion of households with a toilet,,,Alonsotegi,%,Alonsotegi,98.1
2015,Proportion of households with running water,,,Alonsotegi,%,Alonsotegi,99.4
2020,Proportion of households with a toilet,,,Alonsotegi,%,Alonsotegi,100.0
2010,Proportion of households with running water,,,Altzaga,%,Altzaga,100.0
2014,Proportion of households with a toilet,,,Altzaga,%,Altzaga,96.5
2022,Proportion of households with running water,,,Altzaga,%,Altzaga,100.0
2016,Proportion of households with running water,,,Altzaga,%,Altzaga,100.0
2015,Proportion of households with running water,,,Altzaga,%,Altzaga,100.0
2023,Proportion of households with running water,,,Altzaga,%,Altzaga,100.0
2010,Proportion of households with a toilet,,,Altzaga,%,Altzaga,96.5
2018,Proportion of households with running water,,,Altzaga,%,Altzaga,100.0
2014,Proportion of households with running water,,,Altzaga,%,Altzaga,100.0
2019,Proportion of households with running water,,,Altzaga,%,Altzaga,100.0
2023,Proportion of households with a toilet,,,Altzaga,%,Altzaga,96.6
2020,Proportion of households with running water,,,Altzaga,%,Altzaga,100.0
2013,Proportion of households with a toilet,,,Altzaga,%,Altzaga,96.5
2013,Proportion of households with running water,,,Altzaga,%,Altzaga,100.0
2018,Proportion of households with a toilet,,,Altzaga,%,Altzaga,96.7
2021,Proportion of households with a toilet,,,Altzaga,%,Altzaga,96.5
2021,Proportion of households with running water,,,Altzaga,%,Altzaga,100.0
2016,Proportion of households with a toilet,,,Altzaga,%,Altzaga,96.6
2015,Proportion of households with a toilet,,,Altzaga,%,Altzaga,96.5
2020,Proportion of households with a toilet,,,Altzaga,%,Altzaga,96.6
2022,Proportion of households with a toilet,,,Altzaga,%,Altzaga,96.6
2019,Proportion of households with a toilet,,,Altzaga,%,Altzaga,96.6
2019,Proportion of households with running water,,,Altzo,%,Altzo,100.0
2021,Proportion of households with running water,,,Altzo,%,Altzo,100.0
2022,Proportion of households with a toilet,,,Altzo,%,Altzo,98.7
2013,Proportion of households with a toilet,,,Altzo,%,Altzo,98.6
2023,Proportion of households with running water,,,Altzo,%,Altzo,100.0
2016,Proportion of households with running water,,,Altzo,%,Altzo,100.0
2018,Proportion of households with a toilet,,,Altzo,%,Altzo,98.7
2015,Proportion of households with running water,,,Altzo,%,Altzo,100.0
2013,Proportion of households with running water,,,Altzo,%,Altzo,100.0
2016,Proportion of households with a toilet,,,Altzo,%,Altzo,98.7
2022,Proportion of households with running water,,,Altzo,%,Altzo,100.0
2019,Proportion of households with a toilet,,,Altzo,%,Altzo,98.7
2020,Proportion of households with a toilet,,,Altzo,%,Altzo,98.8
2018,Proportion of households with running water,,,Altzo,%,Altzo,100.0
2014,Proportion of households with running water,,,Altzo,%,Altzo,100.0
2020,Proportion of households with running water,,,Altzo,%,Altzo,100.0
2010,Proportion of households with running water,,,Altzo,%,Altzo,100.0
2021,Proportion of households with a toilet,,,Altzo,%,Altzo,98.1
2014,Proportion of households with a toilet,,,Altzo,%,Altzo,98.6
2015,Proportion of households with a toilet,,,Altzo,%,Altzo,98.6
2010,Proportion of households with a toilet,,,Altzo,%,Altzo,97.8
2023,Proportion of households with a toilet,,,Altzo,%,Altzo,98.8
2015,Proportion of households with running water,,,Amezketa,%,Amezketa,100.0
2023,Proportion of households with a toilet,,,Amezketa,%,Amezketa,97.5
2022,Proportion of households with running water,,,Amezketa,%,Amezketa,100.0
2021,Proportion of households with a toilet,,,Amezketa,%,Amezketa,97.8
2021,Proportion of households with running water,,,Amezketa,%,Amezketa,100.0
2015,Proportion of households with a toilet,,,Amezketa,%,Amezketa,96.3
2014,Proportion of households with a toilet,,,Amezketa,%,Amezketa,96.5
2018,Proportion of households with a toilet,,,Amezketa,%,Amezketa,96.4
2018,Proportion of households with running water,,,Amezketa,%,Amezketa,100.0
2019,Proportion of households with a toilet,,,Amezketa,%,Amezketa,96.3
2023,Proportion of households with running water,,,Amezketa,%,Amezketa,100.0
2010,Proportion of households with a toilet,,,Amezketa,%,Amezketa,96.6
2020,Proportion of households with running water,,,Amezketa,%,Amezketa,100.0
2014,Proportion of households with running water,,,Amezketa,%,Amezketa,100.0
2010,Proportion of households with running water,,,Amezketa,%,Amezketa,100.0
2019,Proportion of households with running water,,,Amezketa,%,Amezketa,100.0
2016,Proportion of households with running water,,,Amezketa,%,Amezketa,100.0
2013,Proportion of households with running water,,,Amezketa,%,Amezketa,100.0
2020,Proportion of households with a toilet,,,Amezketa,%,Amezketa,97.5
