Year,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2011,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2012,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2013,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2023,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2018,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2015,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2014,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2022,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2012,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2020,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2021,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2011,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2017,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2010,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2024,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2019,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2016,,,,Arratzua-Ubarrundia,Por 100.000 habitantes,Arratzua-Ubarrundia,0.0
2017,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2020,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2024,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2012,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2019,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2022,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2013,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2016,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2021,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2015,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2011,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2010,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2023,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2014,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2018,,,,Arrieta,Por 100.000 habitantes,Arrieta,0.0
2015,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2014,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2023,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2024,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
