Year,Sexua,Adina,Nazionalitatea,Desgaitasuna,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2021,,,,,,,Alegia,%,Alegia,10.9
2022,,,,,,,Alegia,%,Alegia,7.7
2016,,,,,,,Alegia,%,Alegia,16.4
2018,,,,,,,Alegia,%,Alegia,11.3
2020,,,,,,,Alegia,%,Alegia,9.5
2023,,,,,,,Alegia,%,Alegia,8.1
2016,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,12.8
2021,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,11.8
2020,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,9.4
2010,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,7.5
2022,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,10.7
2015,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,12.6
2023,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,7.5
2018,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,9.6
2019,,,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,10.7
2019,,,,,,,Alkiza,%,Alkiza,8.7
2015,,,,,,,Alkiza,%,Alkiza,10.2
2021,,,,,,,Alkiza,%,Alkiza,7.0
2023,,,,,,,Alkiza,%,Alkiza,8.1
2010,,,,,,,Alkiza,%,Alkiza,4.7
2016,,,,,,,Alkiza,%,Alkiza,9.7
2020,,,,,,,Alkiza,%,Alkiza,5.4
2018,,,,,,,Alkiza,%,Alkiza,5.8
2022,,,,,,,Alkiza,%,Alkiza,5.3
2015,,,,,,,Alonsotegi,%,Alonsotegi,19.3
2019,,,,,,,Alonsotegi,%,Alonsotegi,15.4
2016,,,,,,,Alonsotegi,%,Alonsotegi,20.0
2018,,,,,,,Alonsotegi,%,Alonsotegi,15.8
2021,,,,,,,Alonsotegi,%,Alonsotegi,14.0
2010,,,,,,,Alonsotegi,%,Alonsotegi,9.5
2022,,,,,,,Alonsotegi,%,Alonsotegi,12.6
2020,,,,,,,Alonsotegi,%,Alonsotegi,12.4
2023,,,,,,,Alonsotegi,%,Alonsotegi,13.3
2019,,,,,,,Altzaga,%,Altzaga,6.3
2015,,,,,,,Altzaga,%,Altzaga,13.6
2016,,,,,,,Altzaga,%,Altzaga,6.8
2020,,,,,,,Altzaga,%,Altzaga,9.1
2021,,,,,,,Altzaga,%,Altzaga,4.4
2022,,,,,,,Altzaga,%,Altzaga,2.5
2018,,,,,,,Altzaga,%,Altzaga,8.0
2023,,,,,,,Altzaga,%,Altzaga,4.0
2010,,,,,,,Altzaga,%,Altzaga,2.4
2015,,,,,,,Altzo,%,Altzo,10.8
2021,,,,,,,Altzo,%,Altzo,5.9
2010,,,,,,,Altzo,%,Altzo,6.3
2023,,,,,,,Altzo,%,Altzo,4.9
2019,,,,,,,Altzo,%,Altzo,4.1
2020,,,,,,,Altzo,%,Altzo,5.9
2022,,,,,,,Altzo,%,Altzo,5.7
2016,,,,,,,Altzo,%,Altzo,12.1
2018,,,,,,,Altzo,%,Altzo,6.7
2022,,,,,,,Amezketa,%,Amezketa,6.4
2015,,,,,,,Amezketa,%,Amezketa,11.0
2018,,,,,,,Amezketa,%,Amezketa,10.8
