Year,Trebetasun informatikoa,Sexua,Adina,Lurralde historikoa,Units,Value
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Araba / Álava,%,53.75
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Bizkaia,%,55.34
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Bizkaia,%,53.06
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Bizkaia,%,51.2
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Bizkaia,%,55.17
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Bizkaia,%,59.48
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Gipuzkoa,%,57.91
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Gipuzkoa,%,53.63
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Gipuzkoa,%,57.09
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Gipuzkoa,%,57.0
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Gipuzkoa,%,61.84
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,,%,51.2
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,,%,49.4
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,,%,52.3
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,,%,48.51
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,,%,57.08
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Araba / Álava,%,46.87
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Araba / Álava,%,53.63
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Araba / Álava,%,50.65
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Araba / Álava,%,56.25
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Araba / Álava,%,50.64
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Bizkaia,%,56.33
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Bizkaia,%,48.95
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Bizkaia,%,50.91
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Bizkaia,%,50.95
