Year,Lanbidea,Lan-egoera,Sexua,Lurralde historikoa,Units,Value
2024,,,Emakumea,Gipuzkoa,10.000 biztanleko,294.0
2014,,,Emakumea,Gipuzkoa,10.000 biztanleko,218.5
2018,,,Emakumea,Gipuzkoa,10.000 biztanleko,228.5
2017,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,6.4
2013,,,Emakumea,Gipuzkoa,10.000 biztanleko,213.6
2020,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,9.6
2015,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,4.7
2012,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,204.7
2016,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,5.4
2013,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,3.5
2010,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,201.3
2023,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,58.6
2010,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,2.0
2014,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,4.0
2021,,,Emakumea,Gipuzkoa,10.000 biztanleko,245.4
2016,,,Emakumea,Gipuzkoa,10.000 biztanleko,223.9
2023,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,238.7
2012,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,3.2
2012,,,Emakumea,Gipuzkoa,10.000 biztanleko,207.9
2011,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,194.4
2011,,,Emakumea,Gipuzkoa,10.000 biztanleko,203.7
2024,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,52.4
2022,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,12.9
2018,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,221.0
2024,,,Gizona,,10.000 biztanleko,96.3
2019,,,Gizona,,10.000 biztanleko,89.7
2023,,,Gizona,,10.000 biztanleko,96.6
2023,,Erretiratuak,Gizona,,10.000 biztanleko,22.6
2013,,,Gizona,,10.000 biztanleko,83.6
2010,,,Gizona,,10.000 biztanleko,82.3
2011,,,Gizona,,10.000 biztanleko,84.8
2010,,Erretiratuak,Gizona,,10.000 biztanleko,7.9
2012,,,Gizona,,10.000 biztanleko,83.9
2014,,,Gizona,,10.000 biztanleko,84.6
2016,,Erretiratuak,Gizona,,10.000 biztanleko,11.9
2015,,Erretiratuak,Gizona,,10.000 biztanleko,11.1
2021,,Ez erretiratuak,Gizona,,10.000 biztanleko,74.7
2018,,,Gizona,,10.000 biztanleko,88.2
2011,,Ez erretiratuak,Gizona,,10.000 biztanleko,68.5
2022,,,Gizona,,10.000 biztanleko,93.7
2024,,Erretiratuak,Gizona,,10.000 biztanleko,22.7
2014,,Erretiratuak,Gizona,,10.000 biztanleko,10.2
2022,,Erretiratuak,Gizona,,10.000 biztanleko,19.0
2014,,Ez erretiratuak,Gizona,,10.000 biztanleko,74.3
2016,,Ez erretiratuak,Gizona,,10.000 biztanleko,74.3
2017,,Erretiratuak,Gizona,,10.000 biztanleko,12.9
2015,,Ez erretiratuak,Gizona,,10.000 biztanleko,74.0
2023,,Ez erretiratuak,Gizona,,10.000 biztanleko,74.0
2017,,,Gizona,,10.000 biztanleko,86.8
2019,,Ez erretiratuak,Gizona,,10.000 biztanleko,73.9
2010,,Ez erretiratuak,Gizona,,10.000 biztanleko,74.2
2021,,,Gizona,,10.000 biztanleko,92.9
2012,,Erretiratuak,Gizona,,10.000 biztanleko,9.4
2020,,Erretiratuak,Gizona,,10.000 biztanleko,17.0
2011,,Erretiratuak,Gizona,,10.000 biztanleko,8.2
2013,,Ez erretiratuak,Gizona,,10.000 biztanleko,73.9
2017,,Ez erretiratuak,Gizona,,10.000 biztanleko,73.9
2021,,Erretiratuak,Gizona,,10.000 biztanleko,18.2
2024,,Ez erretiratuak,Gizona,,10.000 biztanleko,73.6
2020,,Ez erretiratuak,Gizona,,10.000 biztanleko,74.8
2018,,Ez erretiratuak,Gizona,,10.000 biztanleko,74.3
2018,,Erretiratuak,Gizona,,10.000 biztanleko,13.8
2013,,Erretiratuak,Gizona,,10.000 biztanleko,9.7
2022,,Ez erretiratuak,Gizona,,10.000 biztanleko,74.7
2015,,,Gizona,,10.000 biztanleko,85.2
2020,,,Gizona,,10.000 biztanleko,91.8
2016,,,Gizona,,10.000 biztanleko,86.3
2019,,Erretiratuak,Gizona,,10.000 biztanleko,15.7
2012,,Ez erretiratuak,Gizona,,10.000 biztanleko,74.4
2011,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,7.2
2021,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,69.2
2022,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,18.7
