Year,Series,Sexua,Kontratu mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2018,Okupazio-tasa,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,76.3
2015,Okupazio-tasa,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,74.4
2016,Okupazio-tasa,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,77.2
2019,Okupazio-tasa,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,77.3
2022,Okupazio-tasa,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,77.4
2020,Okupazio-tasa,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,75.7
2022,Okupazio-tasa,,,,,Arrieta,%,Arrieta,75.6
2023,Okupazio-tasa,,,,,Arrieta,%,Arrieta,77.1
2010,Okupazio-tasa,,,,,Arrieta,%,Arrieta,73.5
2018,Okupazio-tasa,,,,,Arrieta,%,Arrieta,72.0
2020,Okupazio-tasa,,,,,Arrieta,%,Arrieta,69.5
2015,Okupazio-tasa,,,,,Arrieta,%,Arrieta,72.4
2016,Okupazio-tasa,,,,,Arrieta,%,Arrieta,72.0
2021,Okupazio-tasa,,,,,Arrieta,%,Arrieta,74.1
2019,Okupazio-tasa,,,,,Arrieta,%,Arrieta,72.4
2020,Okupazio-tasa,,,,,Arrigorriaga,%,Arrigorriaga,70.9
2016,Okupazio-tasa,,,,,Arrigorriaga,%,Arrigorriaga,66.5
2023,Okupazio-tasa,,,,,Arrigorriaga,%,Arrigorriaga,76.2
2019,Okupazio-tasa,,,,,Arrigorriaga,%,Arrigorriaga,70.4
2015,Okupazio-tasa,,,,,Arrigorriaga,%,Arrigorriaga,66.6
2010,Okupazio-tasa,,,,,Arrigorriaga,%,Arrigorriaga,68.2
2022,Okupazio-tasa,,,,,Arrigorriaga,%,Arrigorriaga,73.0
2018,Okupazio-tasa,,,,,Arrigorriaga,%,Arrigorriaga,68.7
2021,Okupazio-tasa,,,,,Arrigorriaga,%,Arrigorriaga,70.5
2019,Okupazio-tasa,,,,,Artea,%,Artea,73.2
2016,Okupazio-tasa,,,,,Artea,%,Artea,67.5
2018,Okupazio-tasa,,,,,Artea,%,Artea,71.9
2010,Okupazio-tasa,,,,,Artea,%,Artea,71.9
2020,Okupazio-tasa,,,,,Artea,%,Artea,71.7
2023,Okupazio-tasa,,,,,Artea,%,Artea,76.1
2022,Okupazio-tasa,,,,,Artea,%,Artea,71.2
2021,Okupazio-tasa,,,,,Artea,%,Artea,68.7
2015,Okupazio-tasa,,,,,Artea,%,Artea,68.5
2022,Okupazio-tasa,,,,,Artzentales,%,Artzentales,61.8
2021,Okupazio-tasa,,,,,Artzentales,%,Artzentales,62.7
2018,Okupazio-tasa,,,,,Artzentales,%,Artzentales,63.8
2015,Okupazio-tasa,,,,,Artzentales,%,Artzentales,65.6
2020,Okupazio-tasa,,,,,Artzentales,%,Artzentales,65.3
