Year,Series,Gaixotasun ez-kutsakorra,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,67.4
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,596.9
2011,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,268.4
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,631.8
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,624.4
2018,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,22.2
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,53.2
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,597.6
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,66.3
2018,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,280.0
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,70.5
2014,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,274.9
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,251.1
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,65.7
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,75.7
