Year,Teknologia,Lurralde historikoa,Units,Value
2021,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.3
2020,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.4
2019,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.3
2018,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.3
2017,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.3
2016,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.2
2015,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.2
2014,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.2
2013,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.1
2012,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.1
2011,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.2
2010,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.2
2024,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.8
2023,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.9
2022,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.4
2021,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.3
2020,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.3
2019,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.3
2018,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.3
2017,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.3
2015,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.2
2014,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.2
2012,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.2
2013,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.2
2011,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.2
2010,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.3
2016,Beste teknologia batzuk,Gipuzkoa,100 pertsonako,0.2
