Year,Sexua,Adina,Egoitza,Desgaitasunik ez duten pertsonak,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2019,,16 urte eta gehiago,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,9.3
2018,,16 urte eta gehiago,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,10.0
2020,,16 urte eta gehiago,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,9.0
2018,,16 urte eta gehiago,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,15.1
2015,,16 urte eta gehiago,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,19.1
2016,,16 urte eta gehiago,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,19.6
2020,,16 urte eta gehiago,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,12.4
2019,,16 urte eta gehiago,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,13.8
2021,,16 urte eta gehiago,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,13.1
2010,,16 urte eta gehiago,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,9.9
2020,,16 urte eta gehiago,,,,Gernika-Bermeo,,%,Gernika-Bermeo,11.0
2016,,16 urte eta gehiago,,,,Gernika-Bermeo,,%,Gernika-Bermeo,15.5
2018,,16 urte eta gehiago,,,,Gernika-Bermeo,,%,Gernika-Bermeo,11.8
2019,,16 urte eta gehiago,,,,Gernika-Bermeo,,%,Gernika-Bermeo,11.2
2010,,16 urte eta gehiago,,,,Gernika-Bermeo,,%,Gernika-Bermeo,9.8
2021,,16 urte eta gehiago,,,,Gernika-Bermeo,,%,Gernika-Bermeo,11.6
2015,,16 urte eta gehiago,,,,Gernika-Bermeo,,%,Gernika-Bermeo,17.0
2015,,16 urte eta gehiago,,,,Goierri,,%,Goierri,13.1
2016,,16 urte eta gehiago,,,,Goierri,,%,Goierri,11.6
2020,,16 urte eta gehiago,,,,Goierri,,%,Goierri,7.7
2018,,16 urte eta gehiago,,,,Goierri,,%,Goierri,8.9
2010,,16 urte eta gehiago,,,,Goierri,,%,Goierri,8.5
2021,,16 urte eta gehiago,,,,Goierri,,%,Goierri,8.7
2019,,16 urte eta gehiago,,,,Goierri,,%,Goierri,7.9
2010,,16 urte eta gehiago,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,6.5
2018,,16 urte eta gehiago,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,6.3
2021,,16 urte eta gehiago,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,8.3
2016,,16 urte eta gehiago,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,10.1
2020,,16 urte eta gehiago,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,6.6
2015,,16 urte eta gehiago,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,11.3
2019,,16 urte eta gehiago,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,7.0
2018,,16 urte eta gehiago,,,,Markina-Ondarroa,,%,Markina-Ondarroa,10.6
2015,,16 urte eta gehiago,,,,Markina-Ondarroa,,%,Markina-Ondarroa,16.5
2019,,16 urte eta gehiago,,,,Markina-Ondarroa,,%,Markina-Ondarroa,10.5
