Year,Habilidad_IT,Sexo,Edad,Territorio,Units,Value
2021,ICTPST,F,Y16T24,,PT,83.18
2022,ICTPST,F,Y16T24,,PT,85.68
2019,ICTPST,F,Y16T24,,PT,88.68
2023,ICTPST,F,Y16T24,,PT,90.28
2020,ICTPST,F,Y16T24,,PT,86.5
2023,ICTPST,F,Y16T24,ES211,PT,92.24
2020,ICTPST,F,Y16T24,ES211,PT,74.79
2022,ICTPST,F,Y16T24,ES211,PT,94.03
2019,ICTPST,F,Y16T24,ES211,PT,89.77
2021,ICTPST,F,Y16T24,ES211,PT,83.9
2021,ICTPST,F,Y16T24,ES213,PT,80.24
2019,ICTPST,F,Y16T24,ES213,PT,90.71
2022,ICTPST,F,Y16T24,ES213,PT,84.29
2023,ICTPST,F,Y16T24,ES213,PT,88.74
2020,ICTPST,F,Y16T24,ES213,PT,87.56
2021,ICTPST,F,Y16T24,ES212,PT,87.54
2023,ICTPST,F,Y16T24,ES212,PT,91.74
2019,ICTPST,F,Y16T24,ES212,PT,85.35
2020,ICTPST,F,Y16T24,ES212,PT,90.02
2022,ICTPST,F,Y16T24,ES212,PT,84.41
2022,ICTPST,F,Y16T74,,PT,42.93
2023,ICTPST,F,Y16T74,,PT,41.81
2021,ICTPST,F,Y16T74,,PT,45.07
2019,ICTPST,F,Y16T74,,PT,41.74
2020,ICTPST,F,Y16T74,,PT,44.55
2023,ICTPST,F,Y16T74,ES211,PT,39.57
2022,ICTPST,F,Y16T74,ES211,PT,44.31
2020,ICTPST,F,Y16T74,ES211,PT,42.42
2019,ICTPST,F,Y16T74,ES211,PT,42.88
2021,ICTPST,F,Y16T74,ES211,PT,44.91
2022,ICTPST,F,Y16T74,ES213,PT,42.08
2021,ICTPST,F,Y16T74,ES213,PT,43.91
2019,ICTPST,F,Y16T74,ES213,PT,40.65
2023,ICTPST,F,Y16T74,ES213,PT,42.12
2020,ICTPST,F,Y16T74,ES213,PT,43.95
2023,ICTPST,F,Y16T74,ES212,PT,42.33
2020,ICTPST,F,Y16T74,ES212,PT,46.51
2022,ICTPST,F,Y16T74,ES212,PT,43.69
2021,ICTPST,F,Y16T74,ES212,PT,47.05
2019,ICTPST,F,Y16T74,ES212,PT,43.01
2023,ICTPST,F,Y25T74,,PT,35.74
2019,ICTPST,F,Y25T74,,PT,36.51
2020,ICTPST,F,Y25T74,,PT,39.61
2021,ICTPST,F,Y25T74,,PT,40.29
2022,ICTPST,F,Y25T74,,PT,37.51
2019,ICTPST,F,Y25T74,ES211,PT,37.25
2021,ICTPST,F,Y25T74,ES211,PT,40.16
2022,ICTPST,F,Y25T74,ES211,PT,38.54
2020,ICTPST,F,Y25T74,ES211,PT,38.71
2023,ICTPST,F,Y25T74,ES211,PT,33.32
2021,ICTPST,F,Y25T74,ES213,PT,39.4
2019,ICTPST,F,Y25T74,ES213,PT,35.49
2023,ICTPST,F,Y25T74,ES213,PT,36.49
2022,ICTPST,F,Y25T74,ES213,PT,36.8
2020,ICTPST,F,Y25T74,ES213,PT,38.97
2021,ICTPST,F,Y25T74,ES212,PT,41.83
2022,ICTPST,F,Y25T74,ES212,PT,38.22
2020,ICTPST,F,Y25T74,ES212,PT,41.08
2019,ICTPST,F,Y25T74,ES212,PT,37.87
2023,ICTPST,F,Y25T74,ES212,PT,35.63
2020,ICTPST,M,Y16T24,,PT,86.4
2023,ICTPST,M,Y16T24,,PT,77.2
2019,ICTPST,M,Y16T24,,PT,81.93
2022,ICTPST,M,Y16T24,,PT,77.02
2021,ICTPST,M,Y16T24,,PT,82.55
2021,ICTPST,M,Y16T24,ES211,PT,71.4
2019,ICTPST,M,Y16T24,ES211,PT,88.54
2022,ICTPST,M,Y16T24,ES211,PT,73.54
2023,ICTPST,M,Y16T24,ES211,PT,76.92
2020,ICTPST,M,Y16T24,ES211,PT,82.49
2019,ICTPST,M,Y16T24,ES213,PT,85.49
2020,ICTPST,M,Y16T24,ES213,PT,85.77
2022,ICTPST,M,Y16T24,ES213,PT,81.08
2023,ICTPST,M,Y16T24,ES213,PT,75.48
2021,ICTPST,M,Y16T24,ES213,PT,86.33
2023,ICTPST,M,Y16T24,ES212,PT,79.85
2019,ICTPST,M,Y16T24,ES212,PT,74.65
2021,ICTPST,M,Y16T24,ES212,PT,82.42
2020,ICTPST,M,Y16T24,ES212,PT,89.18
2022,ICTPST,M,Y16T24,ES212,PT,72.35
2020,ICTPST,M,Y16T74,,PT,45.46
2021,ICTPST,M,Y16T74,,PT,46.84
2019,ICTPST,M,Y16T74,,PT,42.74
2022,ICTPST,M,Y16T74,,PT,41.65
2023,ICTPST,M,Y16T74,,PT,40.29
2022,ICTPST,M,Y16T74,ES211,PT,42.74
2019,ICTPST,M,Y16T74,ES211,PT,40.61
2021,ICTPST,M,Y16T74,ES211,PT,48.29
2023,ICTPST,M,Y16T74,ES211,PT,37.2
2020,ICTPST,M,Y16T74,ES211,PT,43.65
2023,ICTPST,M,Y16T74,ES213,PT,39.15
2022,ICTPST,M,Y16T74,ES213,PT,41.79
2019,ICTPST,M,Y16T74,ES213,PT,44.18
2020,ICTPST,M,Y16T74,ES213,PT,46.29
2021,ICTPST,M,Y16T74,ES213,PT,48.37
2023,ICTPST,M,Y16T74,ES212,PT,43.52
2019,ICTPST,M,Y16T74,ES212,PT,41.41
2022,ICTPST,M,Y16T74,ES212,PT,40.93
2020,ICTPST,M,Y16T74,ES212,PT,44.97
