Year,Habilidad informática,Sexo,Edad,Territorio histórico,Units,Value
2020,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Gipuzkoa,%,58.37
2022,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Gipuzkoa,%,58.68
2021,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Gipuzkoa,%,60.21
2019,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Gipuzkoa,%,55.37
2023,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Gipuzkoa,%,57.43
2022,Copiar o mover ficheros o carpetas,Hombre,25-74 años,,%,54.17
2021,Copiar o mover ficheros o carpetas,Hombre,25-74 años,,%,59.16
2020,Copiar o mover ficheros o carpetas,Hombre,25-74 años,,%,53.66
2019,Copiar o mover ficheros o carpetas,Hombre,25-74 años,,%,54.64
2023,Copiar o mover ficheros o carpetas,Hombre,25-74 años,,%,52.63
2021,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Araba/Álava,%,61.18
2020,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Araba/Álava,%,50.74
2023,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Araba/Álava,%,47.9
2019,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Araba/Álava,%,56.81
2022,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Araba/Álava,%,53.67
2019,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Bizkaia,%,55.58
2020,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Bizkaia,%,54.51
2022,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Bizkaia,%,54.3
2021,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Bizkaia,%,60.48
2023,Copiar o mover ficheros o carpetas,Hombre,25-74 años,Bizkaia,%,53.4
