Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2016,,16 years and over,,,,,Aia,PT,Aia,10.2
2019,,16 years and over,,,,,Aia,PT,Aia,6.5
2015,,16 years and over,,,,,Aizarnazabal,PT,Aizarnazabal,17.0
2020,,16 years and over,,,,,Aizarnazabal,PT,Aizarnazabal,9.7
2010,,16 years and over,,,,,Aizarnazabal,PT,Aizarnazabal,11.0
2021,,16 years and over,,,,,Aizarnazabal,PT,Aizarnazabal,11.6
2019,,16 years and over,,,,,Aizarnazabal,PT,Aizarnazabal,11.7
2018,,16 years and over,,,,,Aizarnazabal,PT,Aizarnazabal,12.2
2016,,16 years and over,,,,,Aizarnazabal,PT,Aizarnazabal,15.1
2016,,16 years and over,,,,,Ajangiz,PT,Ajangiz,5.4
2019,,16 years and over,,,,,Ajangiz,PT,Ajangiz,4.2
2018,,16 years and over,,,,,Ajangiz,PT,Ajangiz,6.0
2021,,16 years and over,,,,,Ajangiz,PT,Ajangiz,6.3
2020,,16 years and over,,,,,Ajangiz,PT,Ajangiz,7.3
2010,,16 years and over,,,,,Ajangiz,PT,Ajangiz,7.8
2015,,16 years and over,,,,,Ajangiz,PT,Ajangiz,8.1
2019,,16 years and over,,,,,Albiztur,PT,Albiztur,2.1
2015,,16 years and over,,,,,Albiztur,PT,Albiztur,3.3
2018,,16 years and over,,,,,Albiztur,PT,Albiztur,3.5
2020,,16 years and over,,,,,Albiztur,PT,Albiztur,3.4
2010,,16 years and over,,,,,Albiztur,PT,Albiztur,5.3
2021,,16 years and over,,,,,Albiztur,PT,Albiztur,5.0
2016,,16 years and over,,,,,Albiztur,PT,Albiztur,4.8
2019,,16 years and over,,,,,Alegia,PT,Alegia,9.2
2018,,16 years and over,,,,,Alegia,PT,Alegia,11.3
2020,,16 years and over,,,,,Alegia,PT,Alegia,9.5
2015,,16 years and over,,,,,Alegia,PT,Alegia,14.5
2021,,16 years and over,,,,,Alegia,PT,Alegia,10.9
2010,,16 years and over,,,,,Alegia,PT,Alegia,8.1
2016,,16 years and over,,,,,Alegia,PT,Alegia,16.4
2019,,16 years and over,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,10.7
2016,,16 years and over,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,12.8
2010,,16 years and over,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,7.5
2015,,16 years and over,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,12.6
2020,,16 years and over,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,9.4
2018,,16 years and over,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,9.6
2021,,16 years and over,,,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,11.8
2019,,16 years and over,,,,,Alkiza,PT,Alkiza,8.7
2021,,16 years and over,,,,,Alkiza,PT,Alkiza,7.0
2020,,16 years and over,,,,,Alkiza,PT,Alkiza,5.4
2018,,16 years and over,,,,,Alkiza,PT,Alkiza,5.8
2016,,16 years and over,,,,,Alkiza,PT,Alkiza,9.7
2010,,16 years and over,,,,,Alkiza,PT,Alkiza,4.7
2015,,16 years and over,,,,,Alkiza,PT,Alkiza,10.2
2019,,16 years and over,,,,,Alonsotegi,PT,Alonsotegi,15.4
2021,,16 years and over,,,,,Alonsotegi,PT,Alonsotegi,14.0
2020,,16 years and over,,,,,Alonsotegi,PT,Alonsotegi,12.4
2010,,16 years and over,,,,,Alonsotegi,PT,Alonsotegi,9.5
2015,,16 years and over,,,,,Alonsotegi,PT,Alonsotegi,19.3
2016,,16 years and over,,,,,Alonsotegi,PT,Alonsotegi,20.0
2018,,16 years and over,,,,,Alonsotegi,PT,Alonsotegi,15.8
2018,,16 years and over,,,,,Altzaga,PT,Altzaga,8.0
2010,,16 years and over,,,,,Altzaga,PT,Altzaga,2.4
2021,,16 years and over,,,,,Altzaga,PT,Altzaga,4.4
2019,,16 years and over,,,,,Altzaga,PT,Altzaga,6.3
2020,,16 years and over,,,,,Altzaga,PT,Altzaga,9.1
2016,,16 years and over,,,,,Altzaga,PT,Altzaga,6.8
2015,,16 years and over,,,,,Altzaga,PT,Altzaga,13.6
2015,,16 years and over,,,,,Altzo,PT,Altzo,10.8
2018,,16 years and over,,,,,Altzo,PT,Altzo,6.7
2021,,16 years and over,,,,,Altzo,PT,Altzo,5.9
2010,,16 years and over,,,,,Altzo,PT,Altzo,6.3
2020,,16 years and over,,,,,Altzo,PT,Altzo,5.9
2016,,16 years and over,,,,,Altzo,PT,Altzo,12.1
2019,,16 years and over,,,,,Altzo,PT,Altzo,4.1
2015,,16 years and over,,,,,Amezketa,PT,Amezketa,11.0
2020,,16 years and over,,,,,Amezketa,PT,Amezketa,7.8
2021,,16 years and over,,,,,Amezketa,PT,Amezketa,9.2
2019,,16 years and over,,,,,Amezketa,PT,Amezketa,8.4
