Year,Type of renewable technology,Province,County,Municipality,Units,GeoCode,Value
2012,Hydraulic,,,Usurbil,Watts per capita,Usurbil,0.0
2019,Hydraulic,,,Usurbil,Watts per capita,Usurbil,0.0
2016,Hydraulic,,,Usurbil,Watts per capita,Usurbil,0.0
2015,Hydraulic,,,Usurbil,Watts per capita,Usurbil,0.0
2021,Hydraulic,,,Usurbil,Watts per capita,Usurbil,0.0
2023,Hydraulic,,,Usurbil,Watts per capita,Usurbil,0.0
2020,Hydraulic,,,Usurbil,Watts per capita,Usurbil,0.0
2017,Hydraulic,,,Usurbil,Watts per capita,Usurbil,0.0
2012,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,57.0
2017,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,58.1
2023,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,54.0
2018,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,58.0
2021,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,53.0
2020,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,55.3
2016,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,58.6
2014,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,58.3
2019,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,58.3
2010,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,54.6
2015,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,58.3
2011,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,56.0
2022,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,54.4
2013,Hydraulic,,,Valdegovía/Gaubea,Watts per capita,Valdegovía/Gaubea,57.2
2019,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2020,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2014,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2018,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2015,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2022,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2013,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2010,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2023,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2021,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2017,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2011,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2012,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2016,Hydraulic,,,Valle de Trápaga-Trapagaran,Watts per capita,Valle de Trápaga-Trapagaran,0.0
2012,Hydraulic,,,Villabona,Watts per capita,Villabona,140.1
2018,Hydraulic,,,Villabona,Watts per capita,Villabona,136.8
2013,Hydraulic,,,Villabona,Watts per capita,Villabona,140.1
2014,Hydraulic,,,Villabona,Watts per capita,Villabona,140.8
2010,Hydraulic,,,Villabona,Watts per capita,Villabona,140.4
2023,Hydraulic,,,Villabona,Watts per capita,Villabona,140.6
2011,Hydraulic,,,Villabona,Watts per capita,Villabona,140.3
2022,Hydraulic,,,Villabona,Watts per capita,Villabona,141.6
2015,Hydraulic,,,Villabona,Watts per capita,Villabona,140.1
2019,Hydraulic,,,Villabona,Watts per capita,Villabona,136.6
2017,Hydraulic,,,Villabona,Watts per capita,Villabona,136.4
2016,Hydraulic,,,Villabona,Watts per capita,Villabona,137.1
2021,Hydraulic,,,Villabona,Watts per capita,Villabona,141.1
2020,Hydraulic,,,Villabona,Watts per capita,Villabona,140.4
2012,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2010,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2021,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2020,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2022,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2018,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2014,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2016,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2013,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2015,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2017,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2023,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2019,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2011,Hydraulic,,,Villabuena de Álava/Eskuernaga,Watts per capita,Villabuena de Álava/Eskuernaga,0.0
2011,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.0
2017,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.6
2019,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.6
2020,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.6
2021,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.6
2012,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.6
2018,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.6
2014,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.6
2015,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.6
2010,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.0
2013,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.6
2016,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.6
2023,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.6
2022,Hydraulic,,,Vitoria-Gasteiz,Watts per capita,Vitoria-Gasteiz,0.6
2021,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2014,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2013,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2015,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2018,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2012,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2020,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2017,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2019,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2022,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2016,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2023,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2010,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2011,Hydraulic,,,Yécora/Iekora,Watts per capita,Yécora/Iekora,0.0
2015,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2022,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2010,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2021,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2011,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2012,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2019,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2023,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2018,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2013,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2017,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2014,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2016,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2020,Hydraulic,,,Zaldibar,Watts per capita,Zaldibar,0.0
2014,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2021,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2015,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2022,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2018,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2016,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2019,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2011,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2012,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2010,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2017,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2013,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2020,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2023,Hydraulic,,,Zaldibia,Watts per capita,Zaldibia,0.0
2017,Hydraulic,,,Zalduondo,Watts per capita,Zalduondo,0.0
2022,Hydraulic,,,Zalduondo,Watts per capita,Zalduondo,0.0
2021,Hydraulic,,,Zalduondo,Watts per capita,Zalduondo,0.0
2014,Hydraulic,,,Zalduondo,Watts per capita,Zalduondo,0.0
2015,Hydraulic,,,Zalduondo,Watts per capita,Zalduondo,0.0
2011,Hydraulic,,,Zalduondo,Watts per capita,Zalduondo,0.0
2020,Hydraulic,,,Zalduondo,Watts per capita,Zalduondo,0.0
