Year,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2015,,,,ES20011,PER_100000_POP,ES20011,0.0
2020,,,,ES20011,PER_100000_POP,ES20011,0.0
2023,,,,ES20011,PER_100000_POP,ES20011,0.0
2013,,,,ES20011,PER_100000_POP,ES20011,0.0
2014,,,,ES20011,PER_100000_POP,ES20011,0.0
2017,,,,ES20011,PER_100000_POP,ES20011,0.0
2018,,,,ES20011,PER_100000_POP,ES20011,0.0
2011,,,,ES20011,PER_100000_POP,ES20011,0.0
2021,,,,ES20011,PER_100000_POP,ES20011,0.0
2012,,,,ES20011,PER_100000_POP,ES20011,0.0
2019,,,,ES20011,PER_100000_POP,ES20011,0.0
2016,,,,ES20011,PER_100000_POP,ES20011,0.0
2015,,,,ES01049,PER_100000_POP,ES01049,0.0
2013,,,,ES01049,PER_100000_POP,ES01049,0.0
2021,,,,ES01049,PER_100000_POP,ES01049,0.0
2020,,,,ES01049,PER_100000_POP,ES01049,0.0
2012,,,,ES01049,PER_100000_POP,ES01049,0.0
2014,,,,ES01049,PER_100000_POP,ES01049,0.0
2022,,,,ES01049,PER_100000_POP,ES01049,0.0
2018,,,,ES01049,PER_100000_POP,ES01049,0.0
2017,,,,ES01049,PER_100000_POP,ES01049,0.0
2019,,,,ES01049,PER_100000_POP,ES01049,0.0
2023,,,,ES01049,PER_100000_POP,ES01049,0.0
2011,,,,ES01049,PER_100000_POP,ES01049,0.0
2016,,,,ES01049,PER_100000_POP,ES01049,0.0
2010,,,,ES01049,PER_100000_POP,ES01049,0.0
2023,,,,ES48005,PER_100000_POP,ES48005,0.0
2011,,,,ES48005,PER_100000_POP,ES48005,0.0
2017,,,,ES48005,PER_100000_POP,ES48005,0.0
2012,,,,ES48005,PER_100000_POP,ES48005,0.0
2010,,,,ES48005,PER_100000_POP,ES48005,0.0
2021,,,,ES48005,PER_100000_POP,ES48005,0.0
2020,,,,ES48005,PER_100000_POP,ES48005,0.0
2013,,,,ES48005,PER_100000_POP,ES48005,0.0
2014,,,,ES48005,PER_100000_POP,ES48005,0.0
2022,,,,ES48005,PER_100000_POP,ES48005,0.0
2019,,,,ES48005,PER_100000_POP,ES48005,0.0
2015,,,,ES48005,PER_100000_POP,ES48005,0.0
2018,,,,ES48005,PER_100000_POP,ES48005,0.0
2016,,,,ES48005,PER_100000_POP,ES48005,0.0
2023,,,,ES20012,PER_100000_POP,ES20012,0.0
2016,,,,ES20012,PER_100000_POP,ES20012,0.0
2020,,,,ES20012,PER_100000_POP,ES20012,0.0
2022,,,,ES20012,PER_100000_POP,ES20012,0.0
2018,,,,ES20012,PER_100000_POP,ES20012,0.0
2015,,,,ES20012,PER_100000_POP,ES20012,0.0
2012,,,,ES20012,PER_100000_POP,ES20012,0.0
2017,,,,ES20012,PER_100000_POP,ES20012,0.0
2011,,,,ES20012,PER_100000_POP,ES20012,0.0
2021,,,,ES20012,PER_100000_POP,ES20012,0.0
2014,,,,ES20012,PER_100000_POP,ES20012,0.0
2019,,,,ES20012,PER_100000_POP,ES20012,0.0
2010,,,,ES20012,PER_100000_POP,ES20012,0.0
2013,,,,ES20012,PER_100000_POP,ES20012,0.0
2011,,,,ES01003,PER_100000_POP,ES01003,0.0
2015,,,,ES01003,PER_100000_POP,ES01003,0.0
2022,,,,ES01003,PER_100000_POP,ES01003,0.0
2012,,,,ES01003,PER_100000_POP,ES01003,0.0
2010,,,,ES01003,PER_100000_POP,ES01003,0.0
2019,,,,ES01003,PER_100000_POP,ES01003,0.0
2014,,,,ES01003,PER_100000_POP,ES01003,0.0
2020,,,,ES01003,PER_100000_POP,ES01003,0.0
2018,,,,ES01003,PER_100000_POP,ES01003,0.0
2013,,,,ES01003,PER_100000_POP,ES01003,0.0
2023,,,,ES01003,PER_100000_POP,ES01003,0.0
2016,,,,ES01003,PER_100000_POP,ES01003,0.0
2021,,,,ES01003,PER_100000_POP,ES01003,0.0
2017,,,,ES01003,PER_100000_POP,ES01003,0.0
2019,,,,ES48006,PER_100000_POP,ES48006,0.0
2022,,,,ES48006,PER_100000_POP,ES48006,0.0
2018,,,,ES48006,PER_100000_POP,ES48006,0.0
2011,,,,ES48006,PER_100000_POP,ES48006,0.0
2015,,,,ES48006,PER_100000_POP,ES48006,0.0
2020,,,,ES48006,PER_100000_POP,ES48006,0.0
2014,,,,ES48006,PER_100000_POP,ES48006,0.0
2016,,,,ES48006,PER_100000_POP,ES48006,0.0
2017,,,,ES48006,PER_100000_POP,ES48006,0.0
2021,,,,ES48006,PER_100000_POP,ES48006,0.0
2023,,,,ES48006,PER_100000_POP,ES48006,0.0
2010,,,,ES48006,PER_100000_POP,ES48006,0.0
2012,,,,ES48006,PER_100000_POP,ES48006,0.0
2013,,,,ES48006,PER_100000_POP,ES48006,0.0
2017,,,,ES48093,PER_100000_POP,ES48093,0.0
2022,,,,ES48093,PER_100000_POP,ES48093,0.0
2012,,,,ES48093,PER_100000_POP,ES48093,0.0
2015,,,,ES48093,PER_100000_POP,ES48093,0.0
2011,,,,ES48093,PER_100000_POP,ES48093,0.0
2014,,,,ES48093,PER_100000_POP,ES48093,0.0
2021,,,,ES48093,PER_100000_POP,ES48093,0.0
2016,,,,ES48093,PER_100000_POP,ES48093,0.0
2013,,,,ES48093,PER_100000_POP,ES48093,0.0
2020,,,,ES48093,PER_100000_POP,ES48093,0.0
2023,,,,ES48093,PER_100000_POP,ES48093,0.0
2019,,,,ES48093,PER_100000_POP,ES48093,0.0
2010,,,,ES48093,PER_100000_POP,ES48093,0.0
2018,,,,ES48093,PER_100000_POP,ES48093,0.0
2016,,,,ES20013,PER_100000_POP,ES20013,0.0
2010,,,,ES20013,PER_100000_POP,ES20013,0.0
2018,,,,ES20013,PER_100000_POP,ES20013,0.0
2022,,,,ES20013,PER_100000_POP,ES20013,0.0
2019,,,,ES20013,PER_100000_POP,ES20013,0.0
2017,,,,ES20013,PER_100000_POP,ES20013,0.0
2020,,,,ES20013,PER_100000_POP,ES20013,0.0
2021,,,,ES20013,PER_100000_POP,ES20013,0.0
2023,,,,ES20013,PER_100000_POP,ES20013,0.0
2012,,,,ES20013,PER_100000_POP,ES20013,0.0
2014,,,,ES20013,PER_100000_POP,ES20013,0.0
2015,,,,ES20013,PER_100000_POP,ES20013,0.0
2011,,,,ES20013,PER_100000_POP,ES20013,0.0
2013,,,,ES20013,PER_100000_POP,ES20013,0.0
2021,,,,ES01006,PER_100000_POP,ES01006,0.0
2011,,,,ES01006,PER_100000_POP,ES01006,0.0
2015,,,,ES01006,PER_100000_POP,ES01006,0.0
2013,,,,ES01006,PER_100000_POP,ES01006,0.0
2012,,,,ES01006,PER_100000_POP,ES01006,0.0
2017,,,,ES01006,PER_100000_POP,ES01006,0.0
2022,,,,ES01006,PER_100000_POP,ES01006,0.0
2018,,,,ES01006,PER_100000_POP,ES01006,0.0
2014,,,,ES01006,PER_100000_POP,ES01006,0.0
2023,,,,ES01006,PER_100000_POP,ES01006,0.0
2020,,,,ES01006,PER_100000_POP,ES01006,0.0
2019,,,,ES01006,PER_100000_POP,ES01006,0.0
2010,,,,ES01006,PER_100000_POP,ES01006,0.0
2016,,,,ES01006,PER_100000_POP,ES01006,0.0
2016,,,,ES01037,PER_100000_POP,ES01037,0.0
2017,,,,ES01037,PER_100000_POP,ES01037,0.0
2019,,,,ES01037,PER_100000_POP,ES01037,0.0
2011,,,,ES01037,PER_100000_POP,ES01037,0.0
2020,,,,ES01037,PER_100000_POP,ES01037,0.0
2015,,,,ES01037,PER_100000_POP,ES01037,0.0
2021,,,,ES01037,PER_100000_POP,ES01037,0.0
2012,,,,ES01037,PER_100000_POP,ES01037,0.0
2023,,,,ES01037,PER_100000_POP,ES01037,0.0
2018,,,,ES01037,PER_100000_POP,ES01037,0.0
2013,,,,ES01037,PER_100000_POP,ES01037,0.0
2010,,,,ES01037,PER_100000_POP,ES01037,0.0
2014,,,,ES01037,PER_100000_POP,ES01037,0.0
2022,,,,ES01037,PER_100000_POP,ES01037,0.0
2020,,,,ES48009,PER_100000_POP,ES48009,0.0
2014,,,,ES48009,PER_100000_POP,ES48009,0.0
2011,,,,ES48009,PER_100000_POP,ES48009,0.0
2017,,,,ES48009,PER_100000_POP,ES48009,0.0
2010,,,,ES48009,PER_100000_POP,ES48009,0.0
2023,,,,ES48009,PER_100000_POP,ES48009,0.0
2021,,,,ES48009,PER_100000_POP,ES48009,0.0
2015,,,,ES48009,PER_100000_POP,ES48009,0.0
2018,,,,ES48009,PER_100000_POP,ES48009,0.0
2022,,,,ES48009,PER_100000_POP,ES48009,0.0
2019,,,,ES48009,PER_100000_POP,ES48009,0.0
2013,,,,ES48009,PER_100000_POP,ES48009,0.0
2012,,,,ES48009,PER_100000_POP,ES48009,0.0
2016,,,,ES48009,PER_100000_POP,ES48009,0.0
2018,,,,ES20055,PER_100000_POP,ES20055,0.0
2020,,,,ES20055,PER_100000_POP,ES20055,0.0
2014,,,,ES20055,PER_100000_POP,ES20055,0.0
2023,,,,ES20055,PER_100000_POP,ES20055,0.0
2012,,,,ES20055,PER_100000_POP,ES20055,0.0
2021,,,,ES20055,PER_100000_POP,ES20055,0.0
2017,,,,ES20055,PER_100000_POP,ES20055,0.0
2015,,,,ES20055,PER_100000_POP,ES20055,0.0
2019,,,,ES20055,PER_100000_POP,ES20055,0.0
2022,,,,ES20055,PER_100000_POP,ES20055,0.0
2011,,,,ES20055,PER_100000_POP,ES20055,0.0
2013,,,,ES20055,PER_100000_POP,ES20055,0.0
2010,,,,ES20055,PER_100000_POP,ES20055,0.0
2016,,,,ES20055,PER_100000_POP,ES20055,0.0
2023,,,,ES48914,PER_100000_POP,ES48914,0.0
2016,,,,ES48914,PER_100000_POP,ES48914,0.0
2018,,,,ES48914,PER_100000_POP,ES48914,0.0
