Year,Sexo,Edad,Residencia,Discapacidad,Territorio,Comarca,Municipio,Units,GeoCode,Value
2018,,Y_GE16,,,,,ES20003,PT,ES20003,12.2
2016,,Y_GE16,,,,,ES20003,PT,ES20003,15.1
2016,,Y_GE16,,,,,ES48911,PT,ES48911,5.4
2019,,Y_GE16,,,,,ES48911,PT,ES48911,4.2
2018,,Y_GE16,,,,,ES48911,PT,ES48911,6.0
2021,,Y_GE16,,,,,ES48911,PT,ES48911,6.3
2020,,Y_GE16,,,,,ES48911,PT,ES48911,7.3
2010,,Y_GE16,,,,,ES48911,PT,ES48911,7.8
2015,,Y_GE16,,,,,ES48911,PT,ES48911,8.1
2019,,Y_GE16,,,,,ES20004,PT,ES20004,2.1
2015,,Y_GE16,,,,,ES20004,PT,ES20004,3.3
2018,,Y_GE16,,,,,ES20004,PT,ES20004,3.5
2020,,Y_GE16,,,,,ES20004,PT,ES20004,3.4
2010,,Y_GE16,,,,,ES20004,PT,ES20004,5.3
2021,,Y_GE16,,,,,ES20004,PT,ES20004,5.0
2016,,Y_GE16,,,,,ES20004,PT,ES20004,4.8
2019,,Y_GE16,,,,,ES20005,PT,ES20005,9.2
2018,,Y_GE16,,,,,ES20005,PT,ES20005,11.3
2020,,Y_GE16,,,,,ES20005,PT,ES20005,9.5
2015,,Y_GE16,,,,,ES20005,PT,ES20005,14.5
2021,,Y_GE16,,,,,ES20005,PT,ES20005,10.9
2010,,Y_GE16,,,,,ES20005,PT,ES20005,8.1
2016,,Y_GE16,,,,,ES20005,PT,ES20005,16.4
2019,,Y_GE16,,,,,ES01001,PT,ES01001,10.7
2016,,Y_GE16,,,,,ES01001,PT,ES01001,12.8
2010,,Y_GE16,,,,,ES01001,PT,ES01001,7.5
2015,,Y_GE16,,,,,ES01001,PT,ES01001,12.6
2020,,Y_GE16,,,,,ES01001,PT,ES01001,9.4
2018,,Y_GE16,,,,,ES01001,PT,ES01001,9.6
2021,,Y_GE16,,,,,ES01001,PT,ES01001,11.8
2019,,Y_GE16,,,,,ES20006,PT,ES20006,8.7
2021,,Y_GE16,,,,,ES20006,PT,ES20006,7.0
2020,,Y_GE16,,,,,ES20006,PT,ES20006,5.4
2018,,Y_GE16,,,,,ES20006,PT,ES20006,5.8
2016,,Y_GE16,,,,,ES20006,PT,ES20006,9.7
2010,,Y_GE16,,,,,ES20006,PT,ES20006,4.7
2015,,Y_GE16,,,,,ES20006,PT,ES20006,10.2
2019,,Y_GE16,,,,,ES48912,PT,ES48912,15.4
2021,,Y_GE16,,,,,ES48912,PT,ES48912,14.0
2020,,Y_GE16,,,,,ES48912,PT,ES48912,12.4
2010,,Y_GE16,,,,,ES48912,PT,ES48912,9.5
2015,,Y_GE16,,,,,ES48912,PT,ES48912,19.3
2016,,Y_GE16,,,,,ES48912,PT,ES48912,20.0
2018,,Y_GE16,,,,,ES48912,PT,ES48912,15.8
2018,,Y_GE16,,,,,ES20906,PT,ES20906,8.0
2010,,Y_GE16,,,,,ES20906,PT,ES20906,2.4
2021,,Y_GE16,,,,,ES20906,PT,ES20906,4.4
2019,,Y_GE16,,,,,ES20906,PT,ES20906,6.3
2020,,Y_GE16,,,,,ES20906,PT,ES20906,9.1
2016,,Y_GE16,,,,,ES20906,PT,ES20906,6.8
2015,,Y_GE16,,,,,ES20906,PT,ES20906,13.6
2015,,Y_GE16,,,,,ES20007,PT,ES20007,10.8
2018,,Y_GE16,,,,,ES20007,PT,ES20007,6.7
2021,,Y_GE16,,,,,ES20007,PT,ES20007,5.9
2010,,Y_GE16,,,,,ES20007,PT,ES20007,6.3
2020,,Y_GE16,,,,,ES20007,PT,ES20007,5.9
2016,,Y_GE16,,,,,ES20007,PT,ES20007,12.1
2019,,Y_GE16,,,,,ES20007,PT,ES20007,4.1
2015,,Y_GE16,,,,,ES20008,PT,ES20008,11.0
2020,,Y_GE16,,,,,ES20008,PT,ES20008,7.8
2021,,Y_GE16,,,,,ES20008,PT,ES20008,9.2
2019,,Y_GE16,,,,,ES20008,PT,ES20008,8.4
2016,,Y_GE16,,,,,ES20008,PT,ES20008,10.8
2010,,Y_GE16,,,,,ES20008,PT,ES20008,7.3
2018,,Y_GE16,,,,,ES20008,PT,ES20008,10.8
2018,,Y_GE16,,,,,ES48003,PT,ES48003,8.9
2010,,Y_GE16,,,,,ES48003,PT,ES48003,9.1
2016,,Y_GE16,,,,,ES48003,PT,ES48003,12.6
2019,,Y_GE16,,,,,ES48003,PT,ES48003,8.9
2020,,Y_GE16,,,,,ES48003,PT,ES48003,8.1
2015,,Y_GE16,,,,,ES48003,PT,ES48003,14.4
2021,,Y_GE16,,,,,ES48003,PT,ES48003,9.2
2018,,Y_GE16,,,,,ES48004,PT,ES48004,6.7
