Year,Series,NCD,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2020,EU_SH_DTH_NCOM,,,,,ES20007,PER_100000_POP,ES20007,763.4
2023,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,1295.9
2019,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,875.8
2010,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,828.6
2015,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,434.1
2021,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,753.9
2018,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,874.3
2017,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,542.3
2020,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,866.3
2012,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,1046.6
2013,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,210.1
2024,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,760.9
2022,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,651.5
2011,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,734.1
2016,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,542.9
2014,EU_SH_DTH_NCOM,,,,,ES20008,PER_100000_POP,ES20008,748.3
2016,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,639.8
2017,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,584.6
2010,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,606.6
2013,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,640.7
2018,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,567.9
2023,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,612.8
2021,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,613.8
2020,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,664.7
2011,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,526.8
2015,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,624.2
2024,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,699.4
2022,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,635.1
2019,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,609.2
2014,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,601.6
2012,EU_SH_DTH_NCOM,,,,,ES48003,PER_100000_POP,ES48003,602.5
2024,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,779.2
2015,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,491.4
2019,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,242.7
